From,to,Name,Agents,Results ,Type,Label,Place (modern),Historic affiliation,Archival sources,WIKIDATA ENTITY ID,WIKIDATA COUNTRY ID,COUNTRY NAME,WIKIDATA LOCATION ID,WIKIDATA LOCATION NAME
1722,1722,Samuel Pope's riot,"incident involving excessive drinking / the harrassing of a woman / and threatening with swords, Samuel Pope was accused of causing a riot and also suspected of being a supporter of the [Jacobite] Pretender / [being] forced to drink to the 'Pretender' [James Francis Edward Stuart] when in Paris. ",He is bound for two thousand pounds to appear at Hicks Hall / and two hundred for involvement in a riot. Mr Delafaye has told him to find a relative who would present a petition to the King on his behalf / and testify to his good character.,government,England,England,British Empire,UK National Archives / SP 35/32/155A,#,#,#,#,#
1722,1722,Riot at Stillingfleet,Riot against the Chief Constable with the involvement of John Atkinson (labourer) and John Bell both of Naburne / William Guy alias Wilversides (labourer) and Edward Driffield (yeoman) both of Escrick / John Dixon of Fulforth labourer and Samuel Scott of Skipwith weaver / Samuel Agar of Wistow labourer and Robert Agar of Kelfeild farmer / Thomas Myers labourer and Thomas Johnson farmer both of Stillingfleet / John Plowman of Skipwith / Thoas Barwick (labourer) and John Harltey (farmer) of Acombe / William capp of Acombe (labourer) and Alice Wynne of York / Thomas Wilson of Deighton (farmer) and Robert Carter of York (wheelwright) / Robert Turner of Heslington (labourer) and James Turner of Riccall (oatsmealshiller),#,law enforcement,Stillingfleet / England,Stillingfleet / England,British Empire,East Riding of Yorkshire Archives and Local Studies Service QSF/59/C/10/1 and following,#,#,#,#,#
1722,1722,Riot,suppression of unlawful gaming-houses following a riot in Drury Lane,#,personal gain,London / England,London / England,British Empire,UK National Archives / SP 35/32/22,#,#,#,#,#
1722,#,Battle of Cape Lopez,Royal Navy man-of-war under Captain Chaloner Ogle defeated the pirate ship of Bartholomew Roberts,British victory,privateering / piracy,Cape Lopez,Cape Lopez,British Empire,#,Q4087485,#,#,Q129030,Cape Lopez
1722,1722,Riot,Memorial of the Rector and justices of the Peace of Gravesend [Kent] concerning the disorderly conduct of some parishioners of Greenwich and other parishes who attempted to prevent the customary elections of churchwardens for the parish. The Reverend Doctor Skerret / vicar / Isaac Skelton / Captain John Guy / Sir William Sanderson / James Beckham / brewer / John Brookes / Peter De Lamotte / John Robson and John Blundell are mentioned. ,The following are listed as bound over for riot and misdemeanours: Thomas Lawrence / William Martin / Henry Robinson / Richard Sweeting / William Pearce / Jere [Jeremiah] Walton / Thomas Cole / William Coates / William Snoakes / Joseph Falkner / Michael Cole / John Land / Charles Curtis and James Beckham.,religion / cultural identity,Kent / England,Kent / England,British Empire,UK National Archives / SP 35/31/2,#,#,#,#,#
1722,1725,Dummer's War / Father Rale's War / Lovewell's War / Greylock's War / the Three Years' War / the 4th Anglo-Abenaki War / Wabanaki-New England War,series of battles between New England and the Wabanaki Confederacy (specifically the MiêžŒkmaq / Maliseet / and Abenaki) allied with New France,#,colonial expansion / consolidation,Vermont and Maine,Vermont and Maine,British Empire / native Americans / French Empire,#,#,#,#,#,#
1722,1725,Dummer's War,"also known as: Father Rale's War / Lovewell's War / Greylock's War / the Three Years War / 4th Anglo-Abenaki War / Wabanaki-New England War, series of battles between New England and the Wabanaki Confederacy (specifically the Miꞌkmaq / Maliseet / and Abenaki) who were allied with New France",#,colonial expansion / consolidation,Vermont and Maine,Vermont and Maine,British Empire / native Americans / French Empire,#,Q5608194,#,#,#,#
1723,1724,Northeast Coast Campaign,New England colonies versus French colonists and Native Americans,French and Wabanaki Confederacy victory,colonial expansion / consolidation,Berwick / York County / Maine,Berwick / York County / Maine,British Empire,#,Q7057851,#,#,Q3451686,Berwick / York County / Maine
1723,1723,Riot,petition for mercy against a charge of riot by Tho [Thomas] Cole / Jno [John] Land / Thomas Lawrence / Wm [William] Martin / Joseph Faulkner / William Coates / Jeremiah Walton / Wm [William] Pearce [Pierce] / Henry Robinson / William Snukes [Snuke] / Michael Cole / and Richard Sweeting,#,context unclear,England,England,British Empire,UK National Archives / SP 35/41/83,#,#,#,#,#
1723,1723,Riot,riot near Gloucester,#,context unclear,Gloucester / England,Gloucester / England,British Empire,UK National Archives / SP 35/45/30,#,#,#,#,#
1723,1723,Riot,a riot in the city [of London],#,context unclear,London / England,London / England,British Empire,UK National Archives / SP 35/45/101,#,#,#,#,#
1723,1723,Riot,Notice by Elizabeth Paney of her intention to plead guilty to an indictment for a riot and an assault,#,context unclear,Surrey / England,Surrey / England,British Empire,Surrey History Centre QS2/6/1723/Eas/75,#,#,#,#,#
1723,1723,Organised poaching and riot,a riot and [poaching] by the 'Blacks' / and threats made by Andrew Hughes,warrant to the keeper of Newgate [Gaol] Middlesex for the detention of Edward Stevens / one of the [poachers known as the] 'Blacks' / for assault and riot at the house of Baptist Nun / game-keeper of Windsor [Berkshire] Forest,personal gain,Old Windsor / Berkshire / England,Old Windsor / Berkshire / England,British Empire,UK National Archives / SP 35/43/30,#,#,#,#,#
1723,1723,Capture of the Fancy,pirates,British victory over two pirate ships,privateering / piracy,Delaware Bay / Atlantic Ocean,Delaware Bay / Atlantic Ocean,British Empire,#,Q5037075,#,#,#,#
1723,1723,Wage riots,riot at Mansfield 26 October 1723 caused by the reading of the statute for assessing and appointing rates and wages for artificers / labourers and servants,#,social / economic,Mansfield / England,Mansfield / England,British Empire,Nottingham University Library / Department of Manuscripts and Special Collections Mol 249,#,#,#,#,#
1724,1725,Grey Lock's War,New England colonies versus Abenaki (initially not allied with the French),#,colonial expansion / consolidation,Vermont and western Massachusetts,Vermont and western Massachusetts,British Empire,#,#,#,#,#,#
1724,#,Northeast Coast Campaign,#,#,international,There are seven different events of that name!,There are seven different events of that name!,British Empire,#,Q56347245,#,#,#,#
1724,1724,Prison Riots,York Castle / riot and mutiny of prisoners sentenced to transportation / with postscript re inadvisability of receiving any more petitions from prisoners unless some Justices near York think them reasonable,#,law enforcement ,York / Yorkshire / England,York / Yorkshire / England,British Empire,West Yorkshire Archive Service / Wakefield QS1/63/4,#,#,#,#,#
1724,1724,Anniversary of accession riot,"riot at Harwich [Essex] on the anniversary of the accession of King George I, a mob / including fishermen / carried around a person dressed in [?cuckold's] horns, a poor fisherman dressed in ribbons and beating a drum toured the streets. Mentions the participation of one [George] Fairly [Farely] [Fairlie] / a commander of one of the King's ships [the 'Hawk'] / Mr Smith junior / son of Mr Justice Smith, and Humphrey Parson. The riot coincided with civic celebrations.",Crew of the 'Hawk' defend Captain George Fairlie [Farley][Fairley] and claim he was aboard his ship / firing the guns and drinking the King's health / [in the face of accusations he was involved in an anti-Hanoverian riot]. Aldermen and Burgesses of Harwich support this. Fairlie was unaware of the riot / and the Mayor had given prejudiced evidence against him. ,political freedoms / personal rights,Harwich / Essex,Harwich / Essex,British Empire,UK National Archives / SP 35/51/10,#,#,#,#,#
1724,1724,Colchester riot,riot by weavers for higher wages,#,social / economic,Colchester / England,Colchester / England,British Empire,UK National Archives / SP 36/2/66-68,#,#,#,#,#
1724,1724,Weavers' Riot,two day riot at Culmstock by weavers from Cullompton and Bradninch,recommending that a company of dragoons be stationed at those two places to prevent the outbreak of similar trouble,social / economic,Culmstock / England,Culmstock / England,British Empire,UK National Archives / SP 35/49/52,#,#,#,#,#
1724,1724,Anticipated tinners' riot,mayor / burgesses and principal inhabitants request that forces be kept in district / as tinners are threatening to riot,#,social / economic,St. Ives / Cornwall,St. Ives / Cornwall,British Empire,Cornwall Record Office BIVES/105,#,#,#,#,#
1725,1725,Riot in Elgin,"riot at Elgin and the arrest of soldiers who opposed it, ordering that no sentence is to be carried out without the Lords Justices' permission.",Lord Advocate Forbes / on the riot in Elgin and ordering local magistrates to inquire into the justice of the case against the soldiers who opposed the riot.,context unclear,Elgin / Scotland,Elgin / Scotland,British Empire,UK National Archives / SP 54/15/49 / SP 54/15/49-50,#,#,#,#,#
1725,1725,Lithgow (Linlithgow?) Riot,local riot (place name in archival metadata most likely transcription error),"prisoners taken / some officials accused the Scots of ""a great spirit of munity"" and placed the riot in the long succession of uprising in Scotland since the Glorious Revolution",context unclear,Linlithgow / Scotland,Linlithgow / Scotland,British Empire,UK National Archives / SP 54/16/44,#,#,#,#,#
1725,1725,Alleged riot at Thurso,alleged riot / killing of John Robertson at Thurso,#,context unclear,Thurso / Caithness / Scotland,Thurso / Caithness / Scotland,British Empire,UK National Archives / SP 54/15/87,#,#,#,#,#
1725,1725,Attack on James Scott,"""mob"" attacked James Scott on his journey home from election in summer 1725",James Scott asks for punishment of the guilty,elections,Dundee / Scotland,Dundee / Scotland,British Empire,#,#,#,#,#,#
1725,1725,Malt Tax Riot,"local riot in June / (later blamed on Jacobites and tolerated by several magistrates) / mob refuse payment of the Malt Tax until those involved have been punished / destruction of Daniel Campbell's house, attack on the troops / who opened fire and then retreated to Dunbarton Castle,","Gen Wade asked to quell riot violently / several people incl. Jean Mackie killed / goods carried away from Daniel Campbell's house / leaders sentenced / ""horried and barbarous"" actions by Capt. Bushell / pardon granted to Bushell and others who had intervened",social / economic,Glasgow / Scotland,Glasgow / Scotland,British Empire,UK National Archives / SP 54/15/28 / UK National Archives / SP 54/17/10A-13 / UK National Archives / SP 54/15/97-98,#,#,#,#,#
1726,1726,Riot in St. Stephen's Green,riot in Stephen's Green / Dublin,Lord justices investigated.,context unclear,Dublin / Ireland,Dublin / Ireland,British Empire,UK National Archives / SP 63/387/1212,#,#,#,#,#
1726,1726,Riot and assault,Copy notice of Christopher Selbey Senior and Junior and John Crump / of their intention to appear at the next sessions to try their traverse upon an indictment for a riot and an assault on George Bostock,#,personal disputes,Surrey / England,Surrey / England,British Empire,Surrey History Centre QS2/6/1726/Mic/4,#,#,#,#,#
1726,1726,Lincoln Riot,riot at Lincoln [on 19 and 20 September 1726 against the removal of the timber spires of the western towers of Lincoln Cathedral],#,religion / cultural identity,Lincoln / England,Lincoln / England,British Empire,UK National Archives / SP 35/63/11,#,#,#,#,#
1727,1727,Coronation riot,riot at his Majesty's (George II) coronation near a place called 'the little Armoirie in Kings Street / Westminister',Captain William Dick of the third regiment of guards prosecuted for damages caused while quelling the riot but asked for relief ,political freedoms / personal rights,Westminster / London / England,Westminster / London / England,British Empire,SP 36/9/211,#,#,#,#,#
1727,1729,Food Riot,uprising of the poor,#,social / economic,Falmouth / England,Falmouth / England,British Empire,#,#,#,#,#,#
1727,1727,Colliers' toll complaint,The colliers' letter to the turnpike': an open letter from the colliers of Kingswood Forest / in defence of a threatened legal action for riot and rebellion / complaining about tolls / and laying the blame for the poor condition of the roads in Kingswood on the actions of the lord of the manor.,#,social / economic,Kingswood / England,Kingswood / England,British Empire,Gloucestershire Archives D15/2,#,#,#,#,#
1727,1727,Weavers' riot,"""fresh concern that the riot not only continued but also that the weavers seemed to be more and more exasperated""",#,social / economic,London / England,London / England,British Empire,UK National Archives / SP 35/64/4,#,#,#,#,#
1727,#,Action of 11 March 1727,British victory,British victory,international,Cadiz / Atlantic Ocean,Cadiz / Atlantic Ocean,British Empire / Spanish Empire,#,Q4677232,#,#,#,#
1728,1728,Riot,great riot and tumult that happended in the parish of St. Giles in the Fields on Thursday the 24th. of October [1728],"John Ellis / Esq. / Mr. James Sharpless / High Constable of Holborn Division in the county of Middlesex and others prosecuted for their actions in suppressing the riot, ",context unclear,St. Giles in the Fields / England,St. Giles in the Fields / England,British Empire,UK National Archives / SP 36/16/217,#,#,#,#,#
1728,1728,Riot and assault,indictment against Andrew Paul and others for a riot and assault on John Geare. The defendants all excisemen / had apparently first 'begun to burk cork and smutt his face then they carryed the jest so farr as to burn his wigg / at last threw him down by which his legg was broke.',#,personal disputes,Surrey / England,Surrey / England,British Empire,Surrey History Centre QS2/6/1728/Xms/89,#,#,#,#,#
1728,1740,First Maroon War,uprising of Jamaican Maroons against the British Empire,#,slavery / rights of freed slaves,Colony of Jamaica,Jamaica,British Empire,#,#,#,#,#,#
1728,1728,Riot / assault and trespass,appearance of Daniel Rook at the next sessions to answer an indictment for a trespass and a riot / and for the appreance of John Wynd for an assault,#,trespassing on property,Surrey / England,Surrey / England,British Empire,Surrey History Centre QS2/6/1728/Mic/64,#,#,#,#,#
1729,1729,Riot in Thurso,riot in Thurso / Caithness / and subsequent prosecution of John Sinclair,subsequent prosecution of John Sinclair / petitions that several prisoners be pardoned to give evidence. ,context unclear,Thurso / Caithness / Scotland,Thurso / Caithness / Scotland,British Empire,UK National Archives / SP 54/19/84,#,#,#,#,#
1729,1729,Riot,riot at Wootton,#,context unclear,Wootton / England,Wootton / England,British Empire,Norfolk Record Office How 734(a) 349 x,#,#,#,#,#
1729,1729,Tinners' Riot,#,#,social / economic,Redruth / Cornwall,Redruth / Cornwall,British Empire,UK National Archives,#,#,#,#,#
1729,1729,Carnavon / Carnarfon riot,"Feb. 1729: mob plundered a ship that was loading with corn, Mr. Rowland Wynne / a Justice of the Peace of Carnarvon / supposedly avetted and encouraged the rioters, rioters threatended the life of Thomas Owen / a gentleman living in the neighbourhood / who was concerned in the cargo, similar riots had occured in May 1728 when the crowd attempted to plunder another ship and to pull down Mr. Owen's house. ",Inquiries into Rowland Wynne's behaviour followed.,social / economic,Caernarfon / Wales,Caernarfon / Wales,British Empire,UK National Archives / SP 36/11/20,#,#,#,#,#
1729,1729,Tinners' riot,"riot by tinners from Redruth and other parishes in St. Ives to try to seize stocks of corn,",local apologise to neighbouring parishes for the troubles and assure that market-goers will not be assaulted / Government reward for the apprehension of ringleaders,social / economic,St. Ives / Cornwall,St. Ives / Cornwall,British Empire,Cornwall Record Office BIVES/106,#,#,#,#,#
1730,#,Cresap's War (inner-colonial conflict),Pennsylvania-Maryland border,#,colonial expansion / consolidation,Pennsylvania–Maryland border,Pennsylvania–Maryland border,British Empire,#,Q5184298,#,#,#,#
1731,1731,Riot,Notice by William Deadman of his intention to appear at the next sessions to plead guilty to an indictment for a riot and an assault,#,context unclear,Surrey / England,Surrey / England,British Empire,Surrey History Centre QS2/6/1731/Mid/42,#,#,#,#,#
1731,1731,Turnpike riot,riot at Dirham / Gloucestershire / over a turnpike,request for more troops made,social / economic,Dirham / Gloucestershire,Dirham / Gloucestershire,British Empire,UK National Archives / SP 36/23/206+250,#,#,#,#,#
1732,1732,Riot and assault,against John Vaughan Jenkin Gilby and James Henley for a riot and an assault,#,context unclear,Surrey / England,Surrey / England,British Empire,Surrey History Centre QS2/6/1732/Xms/75,#,#,#,#,#
1733,1733,Riot,Petition of John Gostree / indicted for a riot / that his case be tried at the adjournment (See also QS2/6/1733/Xms/63),#,context unclear,Surrey / England,Surrey / England,British Empire,Surrey History Centre QS2/6/1733/Xms/35,#,#,#,#,#
1733,1733,Riot in Chester,several men threatening the mayor / recorder aldermen and Justices of the Peace,"defendants worried they will not receive a ""fair trial""",law enforcement,Chester / England,Chester / England,British Empire,Chester City Council Records,#,#,#,#,#
1733,1733,Riot,crowd / encouraged by Alderman Parker went huzzaing to the Cross shouting 'down with the Rumps / and then went to the White Talbott and broke the windows.',Thomas Farnall / corkcutter / Thomas Cowduck / shoemaker / and others testified against the rioters.,political freedoms / personal rights,Cheshire / England,Cheshire / England,British Empire,Cheshire Archives and Local Studies ZCL/113,#,#,#,#,#
1733,1733,Slave insurrection on St. John,slaves,#,slavery / rights of freed slaves,Saint John / Virgin Islands,Saint John / U.S. Virgin Islands,British Empire,#,Q4552666,#,#,Q849441,Saint John / U.S. Virgin Islands
1734,1734,Riot,riot in Wakefield / May 31 / 1734,#,context unclear,Wakefield / England,Wakefield / England,British Empire,West Yorkshire Archive Service / Wakefield QS1/73/6,#,#,#,#,#
1734,1734,Trooper riot,a riot by the troopers quartered in the town of Stafford,#,military regulations / peace-keeping,Stafford / England,Stafford / England,British Empire,UK National Archives / SP 36/31/149,#,#,#,#,#
1734,1734,King's birthday Riot,riot at Stirling on the king's birthday / when James Campbell of [?Arkinlass] / Capt Charles Campbell and others were insulted and wounded.,prosecution of those involved,political freedoms / personal rights,Stirling / Scotland,Stirling / Scotland,British Empire,UK National Archives / SP 54/22/37,#,#,#,#,#
1735,1735,Riot,"Foster / Mary, Fulston / George, Imeson / John, Jenkinson / David, Swallow / Ann, Taylor / George, White / Mary - recognizance to answer for a riot.",#,context unclear,England,England,British Empire,UK National Archives / ASSI 45/20/1/120-126,#,#,#,#,#
1735,1735,Anniversary of accession riot,Riot and assault: destruction at Bristol of fireworks intended for George II's accession celebrations.,#,government,Bristol / England,Bristol / England,British Empire,UK National Archives / KB 33/5/3,#,#,#,#,#
1735,1735,Corn Price Riot,riot triggered by rising / unaffordable corn prices  ,‘King’s troops’ ended the riot / killing eight or nine people.,social / economic,Leeds / England,Leeds / England,British Empire,https://secretlibraryleeds.net/2019/09/13/the-corn-price-riot-of-1735-and-the-turnpike-riot-of-1753/,#,#,#,#,#
1735,1735,Riot of turnpike cutters,a riot of turnpike cutters at Ross Fair,#,social / economic,Ross Fair / Hereford / England,Ross Fair / Hereford / England,British Empire,UK National Archives / SP 36/37/99,#,#,#,#,#
1735,1735,Enclosure riot,Orders for cessat processus in the indictment against Anthony Tate / gent / William Horsell / Clerk / William Waymarke carpenter / Robert constable / butcher / Robert Borar / Sayer / Bryan Dalby / gardner / Henry Fenner / cordwainer / John Brookson labourer / Bishop Cooper / baker / Robert Bewsick / innholder / and Edward Fenner / innholder / all of Mitcham / indicted for a riot and for unlawfully and forcibly breaking and entering the close of William Farrer Esq,#,trespassing on property,Surrey / England,Surrey / England,British Empire,Surrey History Centre QS2/6/1735/Eas/1a /b,#,#,#,#,#
1735,1735,Riot,indictment of the Robinson brothers for a riot and forcibly entry on John Savage's premises / and giving the date and place of the meeting of special licensing sessions for the East Half Hundred of Brixton and of petty sessions,#,trespassing on property,Surrey / England,Surrey / England,British Empire,Surrey History Centre QS2/6/1735/Mic/44,#,#,#,#,#
1736,1736,Newcastle riot,#,five persons arrested / warrantes issues for others,context unclear,Newcastle / England,Newcastle / England,British Empire,UK National Archives / SP 54/22/87,#,#,#,#,#
1736,1736,Porteous Riots,"local population opposing Captain Porteous / sparked by the hanging of a smuggler, 'the barbarous murder and outrage committed by the mob of the city of Edinburgh on Tuesday the 7th inst.'",Secretary Newcastle to the Commanding Officer in Scotland. Ordering additional troops to Edinburgh Castle and requiring his assistance to suppress the riot and bring the guilty to justice.,law enforcement,Edinburgh / Scotland,Edinburgh / Scotland,British Empire,UK National Archives / SP 54/22/49A and following items,#,#,#,#,#
1736,1736,(Rumoured) Gin Act Riots,protest against an act designed to reduce the consumption of gin / rising tensions across London as anti-prohibition ballads / satirical plays and articles mocking the luxury of the upper classes spread ,#,social / economic,London / England,London / England,British Empire,https://pasttenseblog.wordpress.com/2019/09/29/today-in-drunken-london-history-1736-a-rumoured-uprising-against-the-gin-act/,#,#,#,#,#
1736,1736,Pretended Riot in Mitcham,Letter to the Clerk / from Ja[mes] Cranmer of Mitcham about a 'pretended' riot in Mitcham / on the property of Osmond King,#,trespassing on property,Mitcham / England,Mitcham / England,British Empire,Surrey History Centre QS2/6/1736/Eas/23,#,#,#,#,#
1737,1737,Mildenhall riots,Mildenhall riots on the heath in November,#,context unclear,Mildenhall / Suffolk,Mildenhall / Suffolk,British Empire,UK National Archives,#,#,#,#,#
1737,1737,Riot on the heath,Inquisition taken upon a riot on the heath,#,context unclear,Suffolk / England,Suffolk / England,British Empire,Suffolk Record Office / Bury St Edmunds Branch E18/400/8,#,#,#,#,#
1737,1737,Assault and riot,Notice by William Youngley / of his intention to appear at the next sessions to try his traverse upon an indictment for an assault and a riot,#,context unclear,Surrey / England,Surrey / England,British Empire,Surrey History Centre QS2/6/1737/Mic/18,#,#,#,#,#
1737,1737,Riot and unlawful assembly,Notice by William and Sarah Chambers of their intention to appear at the next sessions to plead guilty to an indictment for causing a riot and unlawful assembly,#,context unclear,Surrey / England,Surrey / England,British Empire,Surrey History Centre QS2/6/1737/Mic/35,#,#,#,#,#
1738,1738,Colliers riot,riot by colliers from Kingswood,#,context unclear,Kingswood / England,Kingswood / England,British Empire,UK National Archives / SP 36/46/163,#,#,#,#,#
1738,1738,Melsham riot,riot at Melsham,#,context unclear,Melsham / England,Melsham / England,British Empire,UK National Archives / SP 36/46/315,#,#,#,#,#
1738,1738,Riot,Petition by Samuel Stephens of Clapham / schoolmaster / in the Marshalsea prison / and therefore unable to attend at the sessions to answer for a riot and a breach of the peace,#,context unclear,Surrey / England,Surrey / England,British Empire,Surrey History Centre QS2/6/1738/Mic/13,#,#,#,#,#
1739,1739,Riot,James Wilson / apprentice to Moses Henniker and a ringleader in the late riot was discharged for abusing his quarterman. ,Request that Wilson should be excluded from entrance to any yard.,context unclear,Chatham / England,Chatham / England,British Empire,UK National Archives / ADM 106/907/88,#,#,#,#,#
1739,1739,Riot and assault,Copy notice by Joseph Pocock of his intention to appear to plead guilty to an indictment for a riot and an assault,#,context unclear,Surrey / England,Surrey / England,British Empire,Surrey History Centre QS2/6/1739/Xms/76,#,#,#,#,#
1739,#,Stono Rebellion,slave uprising,#,slavery / rights of freed slaves,South Carolina / USA,South Carolina / USA,British Empire,#,#,#,#,#,#
1739,1740,Food Riots,uprising of the poor,#,social / economic,British Isles,Great Britain,British Empire,#,#,#,#,#,#
1739,1739,Workmen riot,"riot (or strike) by workmen at Woolwich Yard in August, warrants against six persons concerned, three ringleaders identified,",Forces detached to Woolwich to quell the riot and report of their visit to the yard. Several demands for reimbursements / pardon or rehabilitation coming in between 1740 and 1742.,social / economic,Woolwich / England,Woolwich / England,British Empire,UK National Archives / ADM 106/914/223,#,#,#,#,#
1740,1740,Riot at Cugglestone,#,#,context unclear,Cugglestone / England,Cugglestone / England,British Empire,UK National Archives / ASSI 45/21/4/90-5,#,#,#,#,#
1740,1740,Riot in the country of the laird of Bainagoun,dispute between the Rosses and McKenzies,investigation by Lord Advocate Areskine,context unclear,Scotland / Great Britain,Scotland / Great Britain,British Empire,UK National Archives / SP 54/23/34,#,#,#,#,#
1740,1740,Riot,riot in the country of the Laird of Balnagoun being the result of a dispute between the Rosses and McKenzies.,#,involving clans,Balnagoun / Scotland,Balnagoun / Scotland,British Empire,UK National Archives / SP 54/23/34,#,#,#,#,#
1740,1740,Corn riot,Case of William Fisher who was sentenced to transportation for taking corn during a riot in Dewsbury and is now recommended for mercy.,Petition from inhabitants of Wakefield and others in support of the recommendations.,social / economic,Dewsbury / England,Dewsbury / England,British Empire,UK National Archives / SP 36/53/11,#,#,#,#,#
1740,1741,Food Riots / Irish Famine,"hungry townspeople ""vented their frustration on grain dealers / meal-mongers and bakers / and when they turned to direct action the most likely flashpoints were markets or warehouses""",permanent change in the country's demographic and economic landscape,social / economic,Ireland (e.g. Drogheda and other parts of the Empire,Drogheda / Ireland,British Empire,#,#,#,#,#,#
1740,1740,Riot,Mary Sillsby / accused of stealing wheat during a riot / asking that she may have a free pardon.,petitions on behalf of Mary Sillsby for free pardon,social / economic,Northampton / England,Northampton / England,British Empire,UK National Archives / SP 36/53/46-47,#,#,#,#,#
1740,1740,Corn riot,riot against the export of corn in Stockton / riot lasted 3 days and local magistrates feared physical injury and further outrages.,John Hedworth and G[eorge] Vane / J.P's at Stockton / to [Newcastle] that they are attempting to suppress a riot and requesting a company of Foot from York until peace is restored.,social / economic,Stockton / England,Stockton / England,British Empire,UK National Archives / SP 36/50/425-527,#,#,#,#,#
1741,1741,Riot,local riot,#,context unclear,Preston / England,Preston / England,British Empire,UK National Archives / SP 36/56/5,#,#,#,#,#
1741,1741,New York Conspiracy,purported plot by slaves (and poor whites) to depose the colonial government,#,government,New York / United States,New York / United States,British Empire,#,#,#,#,#,#
1741,1741,Riot,"riot of pressed men on the vessel ""Endeavour""",Recommend he is reimbursed and quote a precedent when Thomas Braggett / Master of the Batchelor's Delight Tender received compensation for the loss of his boat in which pressed men had escaped in May 1736 and Richard Ashby / Master of the Page Tender was allowed money for making good damage caused by pressed men in April 1740.,military regulations / peace-keeping,England,England,British Empire,National Maritime Museum: The Caird Library / Manuscripts Section ADM 354/113/232,#,#,#,#,#
1741,1741,Prison Riots,York Castle prison riot involving Joseph Marsh / William Fountain and others,#,prisons,York / Yorkshire / England,York / Yorkshire / England,British Empire,UK National Archives / SP 36/57/13,#,#,#,#,#
1742,#,Philadelphia Election Riot,inhabitants of Philadelphia in British America,#,elections,Philadelphia / United States,Philadelphia / United States,British Empire,#,#,#,#,#,#
1742,1742,Philadelphia Election Riot,inhabitants of Philadelphia in British America,#,elections,Philadelphia / United States,Philadelphia / United States,British Empire,#,#,#,#,#,#
1742,1742,Suspected French-Jacobite invasion,"a renegade Frenchman informed Thompson that he read letters from Ireland in Maurepas' office suggesting French arms smuggling, no Irish regiments in the French army have been assigned to active service suggesting that France may be planning to assist an insurrection in Ireland, ",#,government,Ireland,Ireland,British Empire,UK National Archives / SP 78/227A/26,#,#,#,#,#
1742,#,Action of 14 June 1742,British victory,British victory,international,Saint Tropez / France,Saint Tropez / France,British Empire / Kingdom of France,#,Q4677256,#,#,Q1813,Saint-Tropez
1742,#,Invasion of Georgia,The 1742 Invasion of Georgia was a military campaign by Spanish forces / based in Florida / which attempted to seize and occupy disputed territory held by the British colony of Georgia. ,#,international,St. Simons / Georgia / North America,St. Simons / Georgia / USA,British Empire / Spanish Empire,#,Q6059634,#,#,Q1523372,St. Simons / Georgia
1743,1743,Local costum interpreted as riot,"Earl of Leicester had mis-interpreted a local gathering of villagers ""to throw at Cocks"" / which included dressing up a boy and girl als ""Holly Boy"" and ""Ivy Girl"" as a riot and ""forcibly dispersed"" the crowd",incident mentioned in a family law suit of December 1743,alleged / planned,Kent / England,Kent / England,British Empire,Kent History and Library Centre U908/L19/6,#,#,#,#,#
1743,1743,Gosport Riot,Captain Thomas Griffin / the St. George / Portsmouth harbour. Thomas Graham / a member of his crew / was put on board a ship bound for Cowes in place of a man who was impressed out of her last March. When he returned to duty he was involved in the Gosport riot 'being in liquor' and sent to Winchester gaol for 10 months. He asks for the R / which was placed on him / to be removed. Enclosed in f102.,#,drunkenness,Gosport / England,Gosport / England,British Empire,The National Archives ADM 106/974/103,#,#,#,#,#
1743,1743,Henley Riot,"riot at Henley upon Thames between bargemen / townspeople and soldiers quartered there, examinations taken of seven men in Col. Fleming's Regiment. Thomas Newell to John Sharpe that he considers the riot to be a quarrel between the soldiers and some drunken men in the town.","Edward Weston to the Mayor of Henley upon Thames giving detailed instructions for an enquiry into the riot there [see f. 133]. Two additional Companies of Foot are to be quartered in the town.
",military regulations / peace-keeping,Henley / England,Henley / England,British Empire,UK National Archives / SP 36/61/133,#,#,#,#,#
1743,1743,Shipwrights' Riot,Deposition against the rioters sworn before William Rickman / Mayor and Samuel Brady. When called to the riot at the gates he was abused and dirt and stones were thrown at him. Account of persons concerned in the late riot. Alexander Pooling and Edward Atwick are said to be ringleaders and nine others Enclosed in 68.,Several workers petition to be re-admitted after the riot and claimed they were not involved.,social / economic,Portsmouth / England,Portsmouth / England,British Empire,UK National Archives / ADM 106/975/4,#,#,#,#,#
1743,1743,London Gin Riots,taxation riot,#,social / economic,London / England,London / England,British Empire,#,#,#,#,#,#
1744,1744,Riot,riot outside Mrs. Campbell's house in Air Street / Piccadilly,rioters arrested and tried,context unclear,London / England,London / England,British Empire,UK National Archives / SP 36/64/116,#,#,#,#,#
1744,1748,King George’s War,colonial conflict between Britain and France,#,international,North America,North America,British Empire,#,Q517578,#,#,Q49,North America
1744,1744,Planned French Invasion of Britain,Jacobites in exile and their supporters,#,alleged / planned,Normandy / France,Normandy / France,British Empire / Kingdom of France,#,Q7201333,#,#,Q18677875,Normandy / France
1745,1746,Northeast Coast Campaign,New England colonists versus French colonists and Wabanaki Native Americans,#,colonial expansion / consolidation,Berwick / York County / Maine,Berwick / York County / Maine,British Empire,#,Q7057853,#,#,Q3451686,Berwick / York County / Maine
