MAGAZINE TITLE;PLACE OF PUBLICATION;PUBLISHER;DENOMINATION;DATES;START;INFO;SOURCE
Catholic New World;3525 S. Lake Park Ave., Chicago, IL 60653;Bishop of Chicago;Catholic;#;<1900;#;Q5053213
Catholic Sentinel;Portland, Oregon;Englisch;Catholic;1870;1870;#;Q5053236
Catholic Standard;Washington, D.C., U.S.;Archdiocese;Catholic;1951-present;1951;#;Q5053240
Catholic Standard;Dublin, Ireland;#;Catholic;19 May 1928;1928;#;Q5053242
Catholic Update;Liguori, Missouri;Liguori Publications;Catholic;1972-present;1972;#;Q5053272
Catholic World News;ONLINE;Trinity Communications;Catholic;1996-present;1996;#;Q5053276
Christian Advocate;United States;United Methodist Publishing House;Methodist;1826-1973;1826;#;Q5109259
Christian Baptist;United States;Englisch;Baptist / Restoration Movement;1. Januar 1823;1823;#;Q5109314
Christian Examiner;Boston, United States;Cummings, Hillard & Co.;Christian;1824-1844;1824;#;Q5109580
Christian Examiner;California, USA;#;Christian;#;>1900;#;Q5109581
Christian Marketplace;ONLINE?;#;Christian;#;1996;#;Q5109881
Christian Messenger;New York City, USA;Englisch;Christian;1826;1826;#;Q5109917
Christian Music Planet;#;#;Christian;>1900;>1900;#;Q5109947
Christian Observer;London;Englisch;Christian;1. Januar 1802;1802;#;Q5109987
Christian Observer;Boston;Englisch;Christian;1. Januar 1802;1802;#;Q5109987
Christian Order;United Kingdom;#;Christian;01. Jan 60;1960;#;Q5109989
Christian Reformer;United Kingdom;#;Unitarian;#;1815;#;Q5110064
Christian Register;Boston, MA;Englisch;Unitarian;20 April 1821;1821;#;Q5110068
Christian Remembrancer;United Kingdom;#;Anglican;1819 to 1868;1819;#;Q5110069
Christian Science Sentinel;Boston, MA;#;Christian Science;1898;1898;#;Q5110123
Christian Today;Tokyo, Japan;#;Christian;2000;2000;#;Q5110206
Christian Voice, Karachi;Karachi;Englisch;Christian;#;#;#;Q5110250
Christianity Magazine;United States;#;Christian;1984;1984;#;Q5110475
Church News;SaltLake City;#;Mormon;1931-present;1931;#;Q5116650
Church magazine;United States;Margaret O’Brien Steinfels;Catholic;1986;1986;#;Q5116772
Church of England Newspaper;United Kingdom;#;Anglican;1828-present;1828;#;Q5116865
Churchman;United Kingdom;founded by Gerald Bray;evangelical Anglican;1879;1879;#;Q5118249
Coptic Church Review;United States;Coptic Orthodox Church;Coptic;1980;1980;#;Q5169019
Eastern Oklahoma Catholic;Oklahoma, USA;Diocese of Tulsa;Catholic;>1900;>1901;#;Q5330344
English Churchman;England;#;evangelical / anti-ecumenical;1843;1843;"WIKIPEDIA: ""Ironically, and contrary to general ecclesiastical trends, the English Churchman began life as an Anglo-Catholic newspaper but it was soon taken into evangelical hands where it has remained ever since.""";Q5378207
Falls Church News-Press;Falls Church, USA;Englisch;Christian;1991;1991;#;Q5432464
Florida Catholic;Orlando, Florida, USA;Englisch;Catholic;1939;1939;#;Q5461247
Australian Christian Commonwealth;"	Adelaide, Australia";"Joseph Berry (first edition), Rev. A. E. Cowley (final edition)
";Christian;1901-1940;1901;#;Q55604506
Catholic Courier;Rochester, New York;Roman Catholic Diocese of Rochester;Catholic;1889-present;1889;#;Q55606770
Christian County Headliner;Ozark, United States;#;Christian;2009;2009;#;Q55667715
Spectator and Methodist Chronicle;Melbourne, Australia;#;Methodist;1914 - 1918;1914;#;Q56054804
Church of England Messenger;Melbourne, Australia;#;Anglican; 1870 - 1876;1870;#;Q56059533
Church of England Messenger and Ecclesiastical Gazette for the Diocese of Melbourne and Ballarat;Melbourne, Australia;#;Anglican;1876 - 1889;1876;#;Q56059534
Church of England Messenger for Victoria and Ecclesiastical Gazette for the Diocese of Melbourne;Melbourne, Australia;#;Christian;1889 - 1905;1889;#;Q56059535
Christian Colonist;SA, Australia;Englisch;Christian;1878 - 1894;1878;#;Q56709114
Hawaii Catholic Herald;Honolulu;#;Catholic;1947;1947;#;Q5684252
Journal of the Society of Christian Ethics;USA;Englisch;Christian;1981-present;1981;#;Q60755107
Jerusalem Christian Review;Jerusalem, Israel;Jerusalem Bible Holy-Land Center;Christian;Apr 93;1993;#;Q6185110
Catholic Herald;London, United Kingdom;Englisch;Catholic;1888;1888;#;Q633906
The Church at Home and Abroad;Philadelphia, Pennsylvania;#;Presbyterian;1887-1898;1887;#;Q65044245
Aberdeen Catholic Herald;Aberdeen, United Kingdom;#;Catholic;#;#;#;Q65548829
Christianity Today;Carol Stream, Illinois;Billy Graham;evangelical;1956;1956;#;Q680794
Minnesota Christian Chronicle;Minnesota;Englisch;Christian;1978-present;1978;"WIKIPEDIA: ""It was called the Twin Cities Christian from 1978 to 1993 and the Minnesota Christian Chronicle from 1993 to 2011.""";Q6868187
The Christian Disciple;Boston, MA;"Cummings and Hilliard, 1813-16; Wells and Lilly, 1816-18";Christian;1813-1818;1813;monthly periodical ;Q68832474
The Christian Disciple and Theological Review;Boston, MA;Englisch;Christian;1819-1823;1819;bimonthly periodical ([Boston] : [Wells and Lilly], 1819-1823.);Q68833465
Christian Observer;New York City;Englisch;Christian;1802;1802;#;Q68952247
Nashville Christian Advocate;Nashville;Tennessee Conference;Methodist;1836-1941;1836;#;Q6966955
Pittsburgh Catholic;Pittsburgh, USA;Englisch;Catholic;1844;1844;#;Q7199242
Presbyterian Record;Toronto, Ontario;Presbyterian Record Inc.;Presbyterian;1876-2016;1876;#;Q7240799
Primitive Methodist Magazine;London, United Kingdom;Primitive Methodist Church in Britain;Methodist;1821-1898;1821;#;Q7243568
Protestant Telegraph;Ravenhill Road, Belfast, Northern Ireland;founded by Noel Doherty and Ian Paisley ;politically Protestant;1966-1982;1966;#;Q7251622
Scottish Catholic Observer;19 Waterloo Street, Glasgow, G2 6BT;Editor: Daniel Harkins;Catholic;1885;1885;#;Q7437646
Christian Observer;Boston, MA;Published by William Wells and T. B. Wait and Co. Boston, and Whiting and Watson, New York.;Christian;1802-1866;1801;"monthly evangelical newspaper; from the London edition. ";Q75118410
The Anti-Jacobin Review and True Churchman's Magazine;London;Englisch;politically Protestant;1810-1816;1810;monthly periodical (London : C. Cradock, 1810-1816.);Q75208592
The Anti-Jacobin Review, True Churchman's Magazine, and Protestant Advocate;London;Englisch;politically Protestant;1816-1818;1816;monthly periodical ([London : Sherwood, Neely and Jones], 1816-1818.);Q75209474
The Anti-Jacobin Review and Protestant Advocate or, Monthly Political and Literary Censor;London;Englisch;politically Protestant;1819-1821;1819;monthly periodical (London : Sherwood, Neely and Jones, 1819-1821.);Q75210273
Sooner Catholic;Oklahoma City, Oklahoma, United States;Archdiocese;Catholic;<1900;<1901;#;Q7562701
The Alabama Baptist;Birmingham, Alabama;#;Baptist;1843;1843;#;Q7712959
The B.C. Catholic;Vancouver, Canada;Englisch;Catholic;1929;1929;#;Q7715128
The Baptist Times;Didcot, Oxfordshire;#;Baptist;1885-2011;1885;#;Q7715586
The Catholic Miscellany;"119 Broad Street
Charleston, SC 29402
USA";Bishop of Charleston;Catholic;1822-present;1822;#;Q7721735
The Catholic Register;Toronto, Ontario;#;Catholic;1893;1893;#;Q7721736
The Catholic Review;Baltimore, Maryland;Cathedral Foundation;Catholic;1913-present;1913;#;Q7721737
The Catholic Spirit;St. Paul, Minnesota;Archdiocese;Catholic;1911;1911;#;Q7721738
The Catholic Standard & Times;Philadelphia, Pennsylvania;Archdiocese;Catholic;<1900-2012;<1900;#;Q7721739
The Catholic Sun;"400 E. Monroe
Phoenix, AZ 85004";Diocese of Phoenix;Catholic;1985;1985;#;Q7721740
The Catholic Telegraph;Cincinnati, Ohio;#;Catholic;1831;1831;#;Q7721741
The Catholic Times;La Crosse, Wisconsin;Diocese;Catholic;<1900-2015;<1900;#;Q7721742
The Catholic Transcript;467 Bloomfield Ave. Bloomfield, CT 06002-2999;Archdiocese of Hartford;Catholic;1898-present;1898;#;Q7721743
The Christian Chronicle;Oklahoma City, Oklahoma;"Churches of Christ
Oklahoma Christian University";Christian;1943-present;1943;#;Q7722717
The Christian Post;6200 Second Street NW, Washington, D.C;"	The Christian Post Inc.";evangelical;July 2000-present;July 2000;#;Q7722722
The Christian Science Journal;Boston, MA;Christian Science Publishing Society;Christian Science;1883;1883;#;Q7722725
The Church Review and Ecclesiastical Register;New Haven, United States;founded by Nathiel Smith Richardson;Anglican / Episcopal;1848 until 1891;1848;#;Q7722858
The Irish Catholic;The Irish Catholic, 23, Merrion Square North, Dublin 2;"	Grace Communications";Catholic;1888;1888;#;Q7742533
The Living Church;"	Milwaukee, Wisconsin";#;Christian;1879;1879;#;Q7747831
The Progressive Christian;Dallas, Texas;TPC Publications;Christian;1823-2011;1823;#;Q7758505
"""Through all the nations"" / being the Anglican Church magazine for N. & C. Europe : to which is added news from Stockholm";Stockholm;#;Anglican;1914-1915;1914;#;Q80454408
The Catholic Suffragist Organ of the Catholic Women's Suffrage Society;London, United Kingdom;Englisch;Catholic;January 1915;1915;#;Q88559770
The Protestant Girl The Monthly Paper of the Girls' Protestant Union;London, United Kingdom;Mary Helen Anstruther;Christian;1896;1896;#;Q88562417
The Protestant Woman;London, United Kingdom;Mary Helen Anstruther;Christian;1894;1894;#;Q88565399
Catholic Citizen;London, United Kingdom;Englisch;Catholic;#;#;#;Q88565407
The Church Missionary Gleaner;London, United Kingdom;Georgina Gollock;Christian;1841;1841;#;Q88565789
Foreign Field of the Wesleyan Methodist Church;London, United Kingdom;Flora Klickmann;Methodist;1904;1904;#;Q88565898
Christian Mother's Magazine;London, United Kingdom;Mary Milner;Christian;1844;1844;#;Q88566002
Englishwoman's Magazine, and Christian Mother's Miscellany;London, United Kingdom;Mary Milner;Christian;1845;1845;#;Q88566005
The Christian Family Advocate;Edinburgh, United Kingdom;Catherine Denoon Young Ponsonby Smith;Christian;1852;1852;#;Q88566079
The Churchman's Companion;London, United Kingdom;Felicia Skene;Christian;1847-1862;1847;#;Q88566147
The Christian Lady's Magazine;London, United Kingdom;Charlotte Elizabeth Tonna;Christian;1834;1834;#;Q88566203
The Protestant Magazine;London, United Kingdom;Charlotte Elizabeth Tonna;Christian;1839;1839;#;Q88566205
The Protestant Annual. 1841.;London, United Kingdom;Charlotte Elizabeth Tonna;Christian;1840;1840;#;Q88566208
The Christian World Magazine and Family Visitor;London, United Kingdom;Emma Jane Guyton;Christian;1866;1866;#;Q88566274
The Churchwoman;London, United Kingdom;Gertrude Mary Ireland Blackburne;Christian;1895-1899;1895;#;Q88568162
The Christian Lady's Magazine (New series of the Englishwoman's Magazine.);London, United Kingdom;Mary Milner;Christian;1855;1855;#;Q88571613
Erin's Hope The Irish Church Missions' Juvenile Magazine;London, United Kingdom;Ellen Franks Smyly;Christian;1853;1853;#;Q88572314
The Catholic World Report;United States;Founder: Joseph Fessio;Catholic;1991-2011;1991;#;Q92054230
Catholic Digest;New London, Connecticut;Founder: Fr. Louis Gales;Catholic;1936;1936;#;Q926502
The Presbyterian;Philadelphia, USA;#;Presbyterian;1831-1925;1831;#;Q96400126
The Presbyterian of the South;United States;Englisch;Presbyterian;1909;1909;#;Q96611596
Presbyterian Outlook;United States;Englisch;Presbyterian;1944-;1944;#;Q96643087
The Presbyterian Witness;"	Halifax, United States";Englisch;Presbyterian;1848-1925;1848;#;Q96749536
National Baptist Union-Review;Nashville, USA;National Baptist Convention, USA;Baptist;>1900;>1900;#;Q97772375
national Baptist Voice;United States;National Baptist Convention, USA;Baptist;2002;2002;#;Q97784372
Church & State;United States;Americans United for Separation of Church and State;politically Protestant;"	May 15, 1948";1948;"WIKIPEDIA: ""Published as Church and State Newsletter from 1948 until 1952.""";Q97831373
Church Management;United States;Englisch;Christian;1924;1924;#;Q97834437
Church Record;Philadelphia, USA;Englisch;Christian;1822-1823;1822;#;Q97836041
The Church Review;United States;Church Society for College Work;Christian;1940-1972;1940;#;Q97924467
The Churchman's Repository for the Eastern Diocese;Massachusetts, USA;Massachusetts Episcopal Church;Anglican;1820;1820;#;Q97925335
Journal of Church Music;United States;;Christian;1959-1988;1959;#;Q98071664
The Catholic Advocate;Brisbane, Australia;William Luke O'Dwyer;Catholic;1911 to 1938;1911;#;Q98314916
Presbyterians Today;United States;Presbyterian Church USA;Presbyterian;1924;1924;#;Q98380090
"The Protestant Oxford Intelligence; or, Occurrences Foreign and Domestick";London;Printed for Thomas Benskin, Bride's Churchyard;Anglican;10 March 1681-31 March 1681;1681;"Seven numbers. Continued as the ""Impartial London Intelligence"" (four numbers: 4 April 1681-14 April 1681)";"RELIGIOUS PERIODICALS IN ENGLAND
DURING THE RESTORATION
AND EIGHTEENTH CENTURY
BY SAMUEL J. ROGAL"
The Protestant Observatory or, Democritus Flens;London;#;Anglican;1681;1681;Ten numbers;"RELIGIOUS PERIODICALS IN ENGLAND
DURING THE RESTORATION
AND EIGHTEENTH CENTURY
BY SAMUEL J. ROGAL"
The Christian Priest;London;#;Anglican;3 June 1720-10 June 1720;1720;Three numbers;"RELIGIOUS PERIODICALS IN ENGLAND
DURING THE RESTORATION
AND EIGHTEENTH CENTURY
BY SAMUEL J. ROGAL"
"The Christian's Magazine; or, Gospel Repository";London;Edited by Thomas Priestley;Anglican; 1790-1792;1790;Three vols.;"RELIGIOUS PERIODICALS IN ENGLAND
DURING THE RESTORATION
AND EIGHTEENTH CENTURY
BY SAMUEL J. ROGAL"
Information of All True Englishmen;London ;Printed for Francis Smith [bookseller] at the Elephant and Castle near the Royal Exchange in Cornhill;Anglican; 1 February 1681-14 April 1681;1681;Twenty-two numbers: a news-sheet containing very little foreign news and only occasional inserted advertisements;"RELIGIOUS PERIODICALS IN ENGLAND
DURING THE RESTORATION
AND EIGHTEENTH CENTURY
BY SAMUEL J. ROGAL"
The Christian magazine: or, Evangelical repository;Edinburgh, UK;;;;1798;;Q7722713
The Christian;Winnsboro, South Carolina;Associate Reformed Presbyterian Church;Presbyterian;1802-1822;1802;;Q7722713
The Christian;United States;Mendon Association of Congregational Ministers;congregationalist;1824-1827;1824;"WIKIPEDIA: ""The Synod of the South was formed consisting of churches in North and South Carolina and Georgia in 1803 and still another in Texas. The Northern Synod merged with the Associate Presbyterians in 1858 to form the United Presbyterian Church of North America.""";Q7722713
The Christian;United States;Christian Church (Disciples of Christ);Christian;1840s-1974;1840;"WIKIPEDIA: ""It was renamed The Disciple following a merger with the church's mission magazine World Call in 1974. The merged magazine started out as a bi-weekly, then became a monthly.""";Q7722713
